sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0032,Decor,Rugs,2022-05-19,125.0,271.35
SKU0033,Bedding,Pillows,2023-04-30,45.02,111.12
SKU0034,Decor,Lighting,2022-01-14,24.57,70.85
SKU0035,Bath,Bath Accessories,2024-08-18,,47.3
SKU0036,Bedding,Pillows,2023-04-21,116.75,223.92
SKU0037,decor,Wall Art,2022-12-29,4.81,13.97
SKU0038,Kitchen,Dinnerware,2022-05-29,107.2,296.56
SKU0039,Bedding,Pillows,2021-09-20,116.61,200.39
SKU0040,Bath,Towels,2025-11-05,56.34,100.59
SKU0041,Bath,Bath Accessories,2021-11-16,,337.67
SKU0042,Furniture,Storage,2021-09-04,52.31,89.02
SKU0043,Decor,Rugs,2022-08-30,49.4,104.74
SKU0044,Decor,Lighting,2023-09-16,110.52,289.57
SKU0045,Bedding,Sheets,2025-07-07,133.53,314.54
SKU0046,Furniture,Chairs,2022-07-23,21.46,58.83
SKU0047,Bath,Towels,2023-11-30,115.07,287.45
SKU0048,Kitchen,Small Appliances,2021-12-19,116.56,278.59
SKU0049,Bedding,Pillows,2023-06-27,80.32,183.46
SKU0050,Décor,Wall Art,2022-05-26,7.71,13.67
SKU0051,Furniture,Sofas,2022-07-06,8.59,22.49
SKU0052,Bedding,Sheets,2025-06-04,49.9,120.44
SKU0053,Furniture,Sofas,2023-04-06,136.5,272.85
SKU0054,Bedding,Sheets,2023-10-23,63.92,179.54
SKU0055,Bath,Bath Accessories,2023-05-07,37.4,64.45
SKU0056,Kitchen,Cookware,2023-07-21,46.3,86.02
SKU0057,Kitchen,Small Appliances,2021-10-24,139.74,404.27
SKU0058,Furniture,Storage,2022-05-05,96.48,288.89
SKU0059,Furniture,Chairs,2023-07-20,,230.37
SKU0060,Furniture,Chairs,2023-06-24,134.31,330.8
SKU0061,Bedding,Pillows,2021-08-28,121.89,369.78
SKU0062,Furniture,Tables,2023-08-18,50.43,89.57
SKU0063,Decor,Lighting,2024-04-19,37.28,85.12
SKU0064,Decor,Lighting,2023-05-01,123.43,367.47
SKU0065,Decor,Lighting,2023-03-20,5.02,12.13
SKU0066,Furniture,Sofas,2021-08-05,64.94,126.98
SKU0067,Furniture,Tables,2022-02-18,21.5,46.01
SKU0068,Decor,Vases,2022-09-21,141.66,299.91
SKU0069,Furniture,Sofas,2021-12-25,79.74,217.28
SKU0070,Bedding,Sheets,2022-04-15,57.09,180.11
SKU0071,Bath,Towels,2025-01-08,144.52,289.45
SKU0072,Furniture,Tables,2023-03-22,76.6,159.44
SKU0073,Kitchen,Dinnerware,2022-10-12,45.59,75.63
SKU0074,Decor,Rugs,2021-09-04,93.0,223.6
SKU0075,Bath,Towels,2022-12-27,11.52,23.57
SKU0076,Bath,Towels,2021-09-17,136.61,270.94
SKU0077,Bath,Towels,2023-04-19,25.15,59.94
SKU0078,Bath,Bath Accessories,2021-09-09,147.9,293.92
SKU0079,Decor,Wall Art,2022-10-20,102.13,287.86
SKU0080,Furniture,Tables,2022-06-29,38.7,107.01
SKU0081,Bedding,Comforters,2023-08-06,57.7,150.69
SKU0082,kitchen,Cookware,2023-03-06,96.5,237.12
SKU0083,Kitchen,Dinnerware,2022-09-12,17.18,50.45
SKU0084,Bedding,Sheets,2022-04-21,50.83,96.5
SKU0085,Furniture,Storage,2025-07-05,9.95,25.33
SKU0086,Decor,Lighting,2022-01-21,102.92,167.4
SKU0087,Bedding,Comforters,2023-07-28,78.77,154.58
SKU0088,Kitchen,Dinnerware,2022-10-10,98.2,184.52
SKU0089,Kitchen,Dinnerware,2025-03-06,104.88,232.71
SKU0090,Bath,Towels,2023-01-28,140.76,256.19
SKU0091,Furniture,Tables,2022-09-18,53.8,95.85
SKU0092,Bedding,Pillows,2022-09-06,139.01,417.55
SKU0093,Decor,Vases,2021-09-08,41.66,110.65
SKU0094,Furniture,Tables,2022-02-22,123.31,306.83
SKU0095,Furniture,Chairs,2023-04-16,81.33,161.6
SKU0096,Decor,Wall Art,2025-05-01,17.59,53.4
SKU0097,Furniture,Storage,2022-02-26,135.46,353.95
SKU0098,Bath,Bath Accessories,2023-07-04,53.5,115.49
SKU0099,Furniture,Sofas,2023-04-22,109.99,333.86
SKU0100,Bedding,Comforters,2024-09-12,133.51,380.21
SKU0101,Furniture,Storage,2025-04-20,97.74,169.54
SKU0102,Bedding,Pillows,2021-10-20,27.6,83.84
SKU0103,Bedding,Pillows,2022-09-22,,149.43
SKU0104,Bedding,Comforters,2021-11-01,18.81,50.06
SKU0105,Bath,Bath Accessories,2021-07-25,4.74,8.8
SKU0106,Bedding,Comforters,2023-02-24,84.12,227.72
SKU0107,Kitchen,Cookware,2023-01-09,99.19,194.3
SKU0108,Furniture,Chairs,2022-11-05,107.98,213.76
SKU0109,Decor,Wall Art,2022-12-29,51.51,143.94
SKU0110,Bath,Towels,2022-09-28,98.85,292.47
SKU0111,Bedding,Pillows,2025-08-12,100.01,250.95
SKU0112,Furniture,Tables,2022-10-29,17.68,38.69
SKU0113,Bath,,2023-02-26,42.72,85.03
SKU0114,Furniture,Storage,2022-01-06,146.06,325.56
SKU0115,Decor,Vases,2022-03-05,134.24,350.34
SKU0116,Bath,Towels,2025-03-14,120.04,288.6
SKU0117,Bath,Towels,2025-01-23,88.23,210.7
SKU0118,Bath,Bath Accessories,2022-11-09,32.51,89.6
SKU0119,Bath,Bath Accessories,2022-08-08,44.99,73.73
SKU0120,Kitchen,Cookware,2021-09-24,98.24,185.02
SKU0121,Furniture,Sofas,2023-05-12,141.31,441.78
SKU0122,Bedding,Sheets,2022-08-05,137.57,301.59
SKU0123,Bedding,Sheets,2023-03-15,6.26,19.31
SKU0124,Decor,Wall Art,2023-06-18,66.51,209.28
SKU0125,Furniture,Sofas,2022-04-22,144.69,428.98
SKU0126,Bath,Bath Accessories,2023-05-13,46.99,104.14
SKU0127,Furniture,Tables,2022-03-28,128.27,270.27
SKU0128,Bedding,Sheets,2022-09-20,28.75,71.61
SKU0129,Furniture,Tables,2025-03-06,140.68,381.76
SKU0130,Furniture,Storage,2022-02-20,87.23,153.13
SKU0131,Bath,Towels,2021-11-11,93.79,298.64
SKU0132,Kitchen,Dinnerware,2022-05-30,24.45,59.4
SKU0133,Bath,Bath Accessories,2022-04-05,132.1,367.93
SKU0134,Decor,Wall Art,2022-08-28,105.76,288.09
SKU0135,Bath,Bath Accessories,2022-07-14,56.49,116.92
SKU0136,Decor,Vases,2021-09-07,122.17,353.83
SKU0137,Kitchen,Dinnerware,2023-02-23,130.59,399.76
SKU0138,Bedding,Sheets,2025-02-20,78.66,188.97
SKU0139,Decor,Vases,2022-07-18,120.55,318.25
SKU0140,Furniture,Sofas,2022-10-14,106.49,305.97
SKU0141,Kitchen,Dinnerware,2022-08-05,133.94,286.74
SKU0142,Kitchen,Small Appliances,2022-05-18,58.84,102.99
SKU0143,Bath,Bath Accessories,2023-04-10,88.43,146.57
SKU0144,Decor,Lighting,2025-07-02,71.98,177.66
SKU0145,Decor,Rugs,2022-07-25,45.84,116.68
SKU0146,Bedding,Pillows,2023-08-22,8.45,14.02
SKU0147,Kitchen,Cookware,2023-01-27,124.1,270.08
SKU0148,Kitchen,Cookware,2022-05-15,22.55,54.92
SKU0149,Decor,Vases,2024-01-13,116.42,226.47
SKU0150,Bath,Bath Accessories,2023-05-28,94.94,164.87
SKU0151,Kitchen,Small Appliances,2024-03-07,11.55,28.3
SKU0152,Furniture,Sofas,2021-08-24,82.93,217.27
SKU0153,Kitchen,Cookware,2023-08-03,110.01,347.78
SKU0154,Bath,Towels,2022-11-08,79.38,168.03
SKU0155,Bath,Bath Accessories,2022-09-19,120.1,244.2
SKU0156,Bedding,Sheets,2021-11-05,68.09,117.49
SKU0157,Decor,Lighting,2023-06-25,7.7,24.18
SKU0158,Bedding,Sheets,2022-10-10,126.05,342.04
SKU0159,Bedding,Comforters,2023-04-09,63.71,119.6
SKU0160,Kitchen,Dinnerware,2023-09-21,26.84,53.69
SKU0161,Kitchen,Dinnerware,2021-08-31,84.19,230.96
SKU0162,Bath,Towels,2022-02-07,100.39,205.59
SKU0163,Kitchen,Cookware,2024-06-18,143.41,398.77
SKU0164,Bedding,Pillows,2023-02-10,84.94,219.04
SKU0165,Bath,Bath Accessories,2023-02-27,65.26,130.28
SKU0166,Bath,Bath Accessories,2024-02-10,55.97,157.42
SKU0167,Kitchen,Dinnerware,2023-08-31,6.1,10.89
SKU0168,Bedding,Pillows,2021-10-10,10.72,17.85
SKU0169,Kitchen,Dinnerware,2024-06-28,128.9,351.36
SKU0170,Bath,Bath Accessories,2022-04-12,73.23,128.63
SKU0171,Bath,Towels,2022-10-10,75.78,178.66
SKU0172,Furniture,Chairs,2021-12-22,29.29,67.2
SKU0173,Bath,Towels,2023-01-14,62.18,160.76
SKU0174,Furniture,Storage,2021-08-10,96.72,161.76
SKU0175,Bedding,Comforters,2023-05-24,58.69,152.67
SKU0176,bedding,Comforters,2021-10-15,77.46,230.09
SKU0177,Bedding,Sheets,2022-09-10,100.17,186.39
SKU0178,Bath,Towels,2025-10-07,14.3,37.58
SKU0179,Decor,Rugs,2023-11-18,7.87,19.97
SKU0180,Furniture,Chairs,2023-08-08,141.27,356.11
SKU0181,Furniture,Chairs,2021-11-29,60.67,159.52
SKU0182,Kitchen,Small Appliances,2022-08-06,70.9,175.33
SKU0183,Bedding,,2022-03-29,141.45,313.7
SKU0184,Decor,Wall Art,2021-09-15,144.33,440.0
SKU0185,Kitchen,Dinnerware,2023-11-30,,55.76
SKU0186,Kitchen,Dinnerware,2022-01-26,18.71,30.48
SKU0187,Decor,Vases,2022-12-14,17.79,47.91
SKU0188,Bedding,Comforters,2023-01-07,14.39,30.37
SKU0189,Decor,Vases,2021-09-29,127.35,208.5
SKU0190,Kitchen,Dinnerware,2021-08-24,122.91,252.08
SKU0191,Decor,Vases,2023-07-26,21.25,57.69
SKU0192,Bedding,Comforters,2021-07-20,95.83,287.87
SKU0193,Bedding,Comforters,2024-05-27,111.32,321.22
SKU0194,Decor,Wall Art,2023-03-06,45.18,85.11
SKU0195,Bath,Towels,2022-01-11,113.59,328.38
SKU0196,Bath,Bath Accessories,2021-10-16,148.61,335.89
SKU0197,Bedding,Sheets,2023-04-06,58.31,165.73
SKU0198,Kitchen,Cookware,2022-09-14,53.76,166.08
SKU0199,Furniture,Storage,2023-01-30,,295.7
SKU0200,Furniture,,2023-02-05,113.63,318.99
SKU0041,Bath,Bath Accessories,2021-11-16,,337.67
SKU0052,Bedding,Sheets,2025-06-04,49.9,120.44
SKU0140,Furniture,Sofas,2022-10-14,106.49,305.97
SKU0198,Kitchen,Cookware,2022-09-14,53.76,166.08
